IP or OP,Business Unit,Financial Class,Payor,Year,Year Quarter,Payment Amount
IP,Bellevue,Commercial,1199 NATIONAL BENEFIT FUND [5140],2019,2019 Q2,-59789.17
IP,Bellevue,Commercial,1199 NATIONAL BENEFIT FUND [5140],2019,2019 Q3,-67164.9
IP,Bellevue,Commercial,1199 NATIONAL BENEFIT FUND [5140],2019,2019 Q4,-14125.3
IP,Bellevue,Commercial,1199 NATIONAL BENEFIT FUND [5140],2020,2020 Q1,-1.81899E-12
IP,Bellevue,Commercial,1199 NATIONAL BENEFIT FUND [5140],2020,2020 Q2,-10173.03
IP,Bellevue,Commercial,AETNA COMM [5020],2019,2019 Q1,0
IP,Bellevue,Commercial,AETNA COMM [5020],2019,2019 Q2,-489855.88
IP,Bellevue,Commercial,AETNA COMM [5020],2019,2019 Q3,-474150.17
IP,Bellevue,Commercial,AETNA COMM [5020],2019,2019 Q4,-15151.03
IP,Bellevue,Commercial,AETNA COMM [5020],2020,2020 Q1,-30169.95
IP,Bellevue,Commercial,AETNA COMM [5020],2020,2020 Q2,1480.38
IP,Bellevue,Commercial,AETNA COMM [5020],2020,2020 Q3,-3184.24
IP,Bellevue,Commercial,AFFINITY HEALTH PLAN COMM [5040],2019,2019 Q1,0
IP,Bellevue,Commercial,AFFINITY HEALTH PLAN COMM [5040],2019,2019 Q2,0
IP,Bellevue,Commercial,AFFINITY HEALTH PLAN COMM [5040],2019,2019 Q3,-10465.84
IP,Bellevue,Commercial,AFFINITY HEALTH PLAN COMM [5040],2019,2019 Q4,0
IP,Bellevue,Commercial,AFFINITY HEALTH PLAN COMM [5040],2020,2020 Q1,256.09
IP,Bellevue,Commercial,AFFINITY HEALTH PLAN COMM [5040],2020,2020 Q3,0
IP,Bellevue,Commercial,CIGNA [5160],2019,2019 Q1,0
IP,Bellevue,Commercial,CIGNA [5160],2019,2019 Q2,-116444.05
IP,Bellevue,Commercial,CIGNA [5160],2019,2019 Q3,-343943.66
IP,Bellevue,Commercial,CIGNA [5160],2019,2019 Q4,-528855.22
IP,Bellevue,Commercial,CIGNA [5160],2020,2020 Q1,-5171.87
IP,Bellevue,Commercial,CIGNA [5160],2020,2020 Q2,-38397.13
IP,Bellevue,Commercial,CIGNA [5160],2020,2020 Q3,-506.01
IP,Bellevue,Commercial,COMMERCIAL MISC [5000],2019,2019 Q1,0
IP,Bellevue,Commercial,COMMERCIAL MISC [5000],2019,2019 Q2,-9149.79
IP,Bellevue,Commercial,COMMERCIAL MISC [5000],2019,2019 Q3,-221037.26
IP,Bellevue,Commercial,COMMERCIAL MISC [5000],2019,2019 Q4,-82795.5
IP,Bellevue,Commercial,COMMERCIAL MISC [5000],2020,2020 Q1,-52973.21
IP,Bellevue,Commercial,COMMERCIAL MISC [5000],2020,2020 Q2,-14881.68
IP,Bellevue,Commercial,COMMERCIAL MISC [5000],2020,2020 Q3,-911.16
IP,Bellevue,Commercial,EMBLEMHEALTH COMM [5060],2019,2019 Q1,0
IP,Bellevue,Commercial,EMBLEMHEALTH COMM [5060],2019,2019 Q2,-112650.95
IP,Bellevue,Commercial,EMBLEMHEALTH COMM [5060],2019,2019 Q3,-165412.99
IP,Bellevue,Commercial,EMBLEMHEALTH COMM [5060],2019,2019 Q4,-445
IP,Bellevue,Commercial,EMBLEMHEALTH COMM [5060],2020,2020 Q1,-194489
IP,Bellevue,Commercial,EMBLEMHEALTH COMM [5060],2020,2020 Q2,-44538.15
IP,Bellevue,Commercial,EMBLEMHEALTH COMM [5060],2020,2020 Q3,-100
IP,Bellevue,Commercial,EMPIRE BCBS COMM [6001],2019,2019 Q1,0
IP,Bellevue,Commercial,EMPIRE BCBS COMM [6001],2019,2019 Q2,-1100057.94
IP,Bellevue,Commercial,EMPIRE BCBS COMM [6001],2019,2019 Q3,-1353232.73
IP,Bellevue,Commercial,EMPIRE BCBS COMM [6001],2019,2019 Q4,-165008.02
IP,Bellevue,Commercial,EMPIRE BCBS COMM [6001],2020,2020 Q1,-135348.72
IP,Bellevue,Commercial,EMPIRE BCBS COMM [6001],2020,2020 Q2,2679.9
IP,Bellevue,Commercial,EMPIRE BCBS COMM [6001],2020,2020 Q3,-1900.92
IP,Bellevue,Commercial,EMPIRE BCBS HEALTHPLUS COMM [3821],2019,2019 Q2,-13632.19
IP,Bellevue,Commercial,EMPIRE BCBS HEALTHPLUS COMM [3821],2019,2019 Q3,-37336.92
IP,Bellevue,Commercial,EMPIRE BCBS HEALTHPLUS COMM [3821],2019,2019 Q4,54.42
IP,Bellevue,Commercial,EMPIRE BCBS HEALTHPLUS COMM [3821],2020,2020 Q1,-242.91
IP,Bellevue,Commercial,EMPIRE BCBS HEALTHPLUS COMM [3821],2020,2020 Q2,926.17
IP,Bellevue,Commercial,EMPIRE BCBS HEALTHPLUS COMM [3821],2020,2020 Q3,0
IP,Bellevue,Commercial,FIDELIS CARE COMM [5120],2019,2019 Q1,0
IP,Bellevue,Commercial,FIDELIS CARE COMM [5120],2019,2019 Q2,-372970.99
