Business Unit,Account Description,Descr,Fiscal Year,Accounting Period,Sum of Amount
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,1,-2755205.22
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,2,-2660847.33
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,3,-1963788.49
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,4,-2821814.16
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,5,-2289995.97
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,6,-1642673.12
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,7,-2281079.44
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,8,-2116150.32
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,9,-2413512.64
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,10,-2339280.22
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,11,668784.09
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2019,12,-605756.68
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2020,1,306847.41
BEL01,GROSS INPATIENT REVENUE,GOVERNMENT/OTHER,2020,2,277971.91
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,1,-15655353.43
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,2,-16775853.22
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,3,-15172610.77
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,4,-14498179.7
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,5,-14534136.04
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,6,-17205895.03
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,7,-16311978.48
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,8,-13774873.34
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,9,-16432279.53
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,10,-15592645.55
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,11,2042310.82
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2019,12,-4198577.24
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2020,1,4602258.58
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS,2020,2,7218443.36
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,1,-12552536.8
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,2,-12303940.48
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,3,-13684843.41
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,4,-15180710.25
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,5,-12423897.9
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,6,-13429495.7
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,7,-13854381.21
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,8,-12192379.91
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,9,-12865234.54
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,10,-9885959.23
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,11,2863398.18
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2019,12,-2064793.12
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2020,1,-26127.52
BEL01,GROSS INPATIENT REVENUE,MEDICAID FFS OTHER,2020,2,4585080.37
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,1,-7596501.78
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,2,-6935123.4
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,3,-7216563.56
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,4,-7810089.86
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,5,-8441018.82
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,6,-7898766.66
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,7,-8425110.74
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,8,-6854864.93
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,9,-8291684.48
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,10,-7236387.76
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,11,4167686.05
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2019,12,-660677.24
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2020,1,39614.23
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS,2020,2,3804768.84
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,1,-7432609.82
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,2,-8194986.14
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,3,-7369829.09
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,4,-8446042.86
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,5,-9935457.29
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,6,-8936646.49
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,7,-9752581.09
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,8,-6787150.95
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,9,-7339340.08
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,10,-6608849.86
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,11,3078332.76
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2019,12,-725223.41
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2020,1,-462351.2
BEL01,GROSS INPATIENT REVENUE,MEDICARE FFS OTHER,2020,2,3229613.67
